Ingredient,Type,Purpose,Skin Type
Hydrogenated Starch Hydrolysate,Sugar,Moisturizing,all skin types
Sodium Stearate,Emulsifier,"Thickening, stabilizing",all skin types
Paraffinum Liquidum,Emollient,"Moisturizing, skin barrier",all skin types
Polyisobutene,Film-forming agent,"Texture improvement, gloss",all skin types
Tridecyl Trimellitate,Emollient,"Conditioning, softness",all skin types
Hydrogenated Styrene/Isoprene Copolymer,Polymer,"Film-forming, durability",all skin types
Silica Dimethyl Silylate,Thickener,"Oil absorption, texture enhancement","oily,combination"
Tribehenin,"Emollient, thickener","Conditioning, texture","dry,sensitive"
Sorbitan Isostearate,Emulsifier,"Stabilizing, blending",all skin types
Ci 15850,Colorant,Adds color (red hue),all skin types
Diisostearyl Malate,Emollient,"Conditioning, skin softening",all skin types
Paraffin,Occlusive,"Moisturizing, prevents water loss","dry,sensitive"
Nylon-12,Texture enhancer,"Adds smoothness, reduces shine",all skin types
Nymphaea Caerulea Flower Extract,Plant extract,"Antioxidant, soothing",all skin types
Theobroma Grandiflorum Seed Butter,Natural butter,"Deep moisturizing, nourishing","dry,sensitive"
Synthetic Wax,Film-forming agent,Improves texture and durability,all skin types
Hydrogenated Microcrystalline Wax,Wax,Enhances texture and stability,all skin types
Oryzanol,Antioxidant,Protects from free radical damage,all skin types
Anise Alcohol,Fragrance ingredient,Provides aroma,all skin types
Ethylhexyl Palmitate,Emollient,"Softening, enhances texture",all skin types
Oryza Sativa Cera (Rice Bran Wax),Natural wax,"Thickening, moisturizing",all skin types
Hydroxystearic Acid,Stabilizer,"Emulsifying, skin conditioning",all skin types
Lauryl Laurate,"Emollient, texture agent",Adds smoothness and hydration,all skin types
Triethylhexyl Trimellitate,Emollient,Enhances spreadability,all skin types
C30-45 Olefin,Polymer,"Film-forming, enhances product stability",all skin types
Ethylhexyl Hydroxystearate,Emollient,"Provides hydration, improves texture",all skin types
Hydrogenated Castor Oil,Emollient,"Deep moisturizing, conditioning","dry,sensitive"
Caprylhydroxamic Acid,Preservative,Antimicrobial,all skin types
Olus Oil (Vegetable Oil),Natural oil,"Soothing, moisturizing","dry,sensitive"
Dicaprylyl Carbonate,Emollient,"Lightweight hydration, silky finish",all skin types
Pentaerythrityl Tetraethylhexanoate,Emollient,"Softening, improves texture",all skin types
Jojoba Esters,Emollient,"Moisturizing, mimics natural sebum","dry,normal"
Polymethyl Methacrylate,Texturizer,"Enhances smoothness, blurs imperfections",all skin types
Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer,Polymer,"Thickening, stabilizing",all skin types
Pinus Pentaphylla Seed Oil,Natural oil,"Antioxidant, nourishing","dry,mature"
Malva Sylvestris (Mallow) Extract,Plant extract,"Soothing, hydrating","sensitive,dry"
Haberlea Rhodopensis Leaf Extract,Plant extract,"Resilience, anti-aging",all skin types
Paeonia Suffruticosa Root Extract,Plant extract,"Brightening, antioxidant",all skin types
Rosa Canina Fruit Oil,Natural oil,"Nourishing, rich in vitamin C","dry,mature"
Octyldodecanol,Emollient,"Moisturizing, improves texture",all skin types
Diisostearyl Malate,Emollient,"Adds shine, smooths texture",all skin types
Ethylcellulose,Polymer,"Film-forming, thickening",all skin types
Ammonium Glycyrrhizate,Active Ingredient,"Soothing, anti-inflammatory","sensitive,irritated"
Trihydroxystearin,Stabilizer,"Enhances texture, stabilizes formulation",all skin types
Glucomannan,Plant-based polymer,"Hydrating, enhances skin elasticity",all skin types
Hydrogenated Polydecene,Emollient,Softens and smooths skin,all skin types
Polybutene,Binder/Film former,Adds flexibility and smoothness,all skin types
Hydrogenated Polyisobutene,Emollient,"Improves spreadability, moisturizes",all skin types
Bis-Behenyl/Isostearyl/Phytosteryl Dimer Dilinoleate,Emollient,Improves texture and hydration,"dry,sensitive"
Glycine Soja (Soybean) Seed Extract,Plant Extract,"Antioxidant, moisturizing",all skin types
Raspberry Seed Oil/Tocopheryl Succinate Aminopropanediol Esters,Antioxidant Complex,"Protects skin, enhances barrier function",all skin types
Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate,Antioxidant,Preserves product stability,all skin types
Ethylene/Propylene/Styrene Copolymer,Polymer,"Adds viscosity, improves texture",all skin types
Butylene/Ethylene/Styrene Copolymer,Polymer,"Film-forming, thickening",all skin types
Prunus Amygdalus Dulcis (Sweet Almond) Oil,Emollient,Moisturizing and softening,"dry,sensitive"
Betula Alba (Birch) Juice,Plant Extract,"Hydrating, soothing",all skin types
Octyldodecyl Myristate,Emollient,Improves texture and spreadability,all skin types
Oleyl Erucate,Emollient,"Skin conditioning, softening",all skin types
Cetyl Palmitate,Emollient,Thickening and softening,"dry,sensitive"
Saccharide Isomerate,Humectant,Long-lasting hydration,all skin types
Hydrogenated Olive Oil,Emollient,Moisturizing and nourishing,"dry,sensitive"
Trehalose,"Antioxidant, Humectant",Protects and hydrates skin,all skin types
Urea,"Humectant, Exfoliant","Hydrating, improves skin texture","dry,rough"
Acrylates/C10-30 Alkyl Acrylate Crosspolymer,"Thickener, Stabilizer","Provides texture, stabilizes formulations",all skin types
Allantoin,Soothing Agent,"Calms irritation, promotes skin healing","sensitive,dry"
Glyceryl Polyacrylate,Humectant,Enhances hydration,all skin types
Pullulan,Film Former,"Tightens skin, provides texture",all skin types
Chondrus Crispus (Carrageenan) Extract,Seaweed Extract,"Hydrating, soothing",all skin types
Isocetyl Stearate,Emollient,"Enhances texture, provides smooth application",all skin types
Mel/Honey,Natural Extract,"Hydrating, soothing","dry,sensitive"
Camelina Sativa Seed Oil,"Emollient, Antioxidant","Nourishing, anti-inflammatory","dry,sensitive"
Hydroxyethylpiperazine Ethane Sulfonic Acid,pH Adjuster,"Exfoliating, brightening",all skin types
Origanum Majorana Leaf Oil,Essential Oil,"Antimicrobial, soothing",all skin types
Anthemis Nobilis Flower Oil,Essential Oil,"Calming, soothing","sensitive,dry"
Prunus Armeniaca (Apricot) Kernel Oil,Emollient,"Nourishing, moisturizing","dry,sensitive"
Citrus Aurantium Amara (Bitter Orange) Flower Oil,Essential Oil,"Antioxidant, soothing",all skin types
Citrus Aurantium Dulcis (Orange) Peel Oil,Essential Oil,"Brightening, antibacterial",all skin types
Royal Jelly Extract,Natural Extract,"Nourishing, skin-repairing","dry,mature"
Calcium Pantetheine Sulfonate,Vitamin Derivative,"Hydrating, improves skin elasticity",all skin types
Copernicia Cerifera (Carnauba) Wax,Wax,"Film-forming, texture enhancer",all skin types
Passiflora Edulis (Passionfruit) Seed Oil,"Emollient, Antioxidant","Moisturizing, protects against free radicals",all skin types
Acrylonitrile/Methyl Methacrylate/Vinylidene Chloride Copolymer,Film Former,"Enhances texture, provides water resistance",all skin types
Cyclopentasiloxane,Silicone Compound,"Skin conditioning, smooth texture",all skin types
Ethylhexyl Methoxycinnamate,Sunscreen Agent,"UV protection, prevents sun damage",all skin types
PEG-10 Dimethicone,Silicone Compound,"Enhances texture, smooth application",all skin types
Dipropylene Glycol,Solvent,"Improves product texture, enhances absorption",all skin types
Arbutin,Skin Lightening Agent,"Brightening, reduces hyperpigmentation",all skin types
Isoeicosane,Emollient,"Improves skin feel, smooth finish","dry,sensitive"
Cyclomethicone,Silicone Compound,"Enhances texture, provides smoothness",all skin types
Triethylhexanoin,Emollient,"Moisturizing, smoothing","dry,sensitive"
Disteardimonium Hectorite,Thickener,"Stabilizes formulas, improves texture",all skin types
Hexyl Laurate,Emollient,"Moisturizing, emollient effect","dry,sensitive"
Tocopheryl Acetate,Vitamin E Derivative,"Antioxidant, skin conditioning",all skin types
Camellia Sinensis Leaf Extract,Plant Extract,"Antioxidant, anti-inflammatory",all skin types
Rosa Damascena Flower Oil,Essential Oil,"Soothing, anti-inflammatory","dry,sensitive"
Rosmarinus Officinalis (Rosemary) Leaf Oil,Essential Oil,"Antioxidant, antimicrobial","oily,acne-prone"
Portulaca Oleracea Extract,Plant Extract,"Soothing, anti-inflammatory","sensitive,dry"
Magnesium Sulfate,Mineral,"Exfoliating, smoothing",all skin types
C12-14 Pareth-3,Surfactant,"Cleansing, emulsifying agent",all skin types
Acrylates/Dimethicone Copolymer,Film Forming Agent,"Improves texture, enhances water resistance",all skin types
Methicone,Silicone Compound,"Skin conditioning, smooth texture",all skin types
Vinyl Dimethicone/Methicone Silsesquioxane Crosspolymer,Silicone Compound,"Enhances texture, film-forming",all skin types
Silica,Mineral,"Absorbs oil, improves texture","oily,acne-prone"
Palmitic Acid,Fatty Acid,"Skin conditioning, emulsifying agent","dry,sensitive"
Dimethicone,Silicone Compound,"Skin conditioning, smooth texture",all skin types
Betaine,Amino Acid Derivative,"Hydrating, skin conditioning","dry,sensitive"
Ethylhexylglycerin,Emollient,"Moisturizing, antimicrobial",all skin types
Aluminum Hydroxide,Inorganic Compound,"UV protection, opacity agent",all skin types
Aluminum Stearate,Inorganic Compound,Stabilizes emulsions,all skin types
Glycosyl Trehalose,Sugar Derivative,"Skin conditioning, anti-aging",all skin types
Butylene Glycol,Humectant,"Moisturizing, improves skin feel",all skin types
Hydrogenated Starch Hydrolysate,Plant Extract,"Moisturizing, conditioning","dry,sensitive"
Phenoxyethanol,Preservative,"Prevents microbial growth, extends shelf life",all skin types
Iron Oxides (Ci 77492),Mineral Pigment,"Coloring agent, skin tinting",all skin types
Iron Oxides (Ci 77491),Mineral Pigment,"Coloring agent, skin tinting",all skin types
Iron Oxides (Ci 77499),Mineral Pigment,"Coloring agent, skin tinting",all skin types
"1,2-Hexanediol",Humectant,"Moisturizing, enhances absorption",all skin types
Alcohol,"Solvent, Antiseptic","Astringent, antimicrobial","oily,acne-prone"
Pentaerythrityl Tetraethylhexanoate,Emollient,"Enhances texture, provides smooth finish",all skin types
Prunus Armeniaca Kernel Oil / Apricot Kernel Oil,Plant Oil,"Moisturizing, nourishing","dry,sensitive"
Mentha Piperita Extract / Peppermint Extract,Plant Extract,"Cooling, refreshing, anti-inflammatory","oily,acne-prone"
Zea Mays Oil / Corn Oil,Plant Oil,"Moisturizing, conditioning","dry,sensitive"
Sodium Hydroxide,pH Adjuster,Balances product pH,all skin types
Mannose,Sugar Derivative,"Moisturizing, improves skin hydration","dry,sensitive"
Disodium EDTA,Chelating Agent,"Stabilizes formulations, prevents metal ions",all skin types
Passiflora Edulis Seed Oil,Plant Oil,"Moisturizing, calming","dry,sensitive"
Pentylene Glycol,Humectant,"Moisturizing, improves skin feel",all skin types
Betula Alba Juice,Plant Extract,"Soothing, skin conditioning","sensitive,dry"
Acrylates/C10-30 Alkyl Acrylate Crosspolymer,Film Former,"Improves texture, enhances stability",all skin types
Butyrospermum Parkii Seedcake Extract / Shea Seedcake Extract,Plant Extract,"Nourishing, moisturizing","dry,sensitive"
Oryza Sativa Bran Oil / Rice Bran Oil,Plant Oil,"Moisturizing, nourishing",all skin types
Tocopherol,Vitamin E Derivative,"Antioxidant, skin conditioning",all skin types
Ascorbyl Palmitate,Vitamin C Derivative,"Antioxidant, brightening",all skin types
Linalool,Fragrance,"Adds scent, can be irritating for sensitive skin",all skin types
Geraniol,Fragrance,"Adds scent, can be irritating for sensitive skin",all skin types
Coumarin,Fragrance,"Adds scent, can be irritating for sensitive skin",all skin types
Limonene,Fragrance,"Adds scent, can be irritating for sensitive skin",all skin types
Hydroxycitronellal,Fragrance,"Adds scent, can be irritating for sensitive skin",all skin types
Citral,Fragrance,"Adds scent, can be irritating for sensitive skin",all skin types
Citronellol,Fragrance,"Adds scent, can be irritating for sensitive skin",all skin types
Hexyl Cinnamal,Fragrance,"Adds scent, can be irritating for sensitive skin",all skin types
Benzyl Alcohol,Preservative,"Prevents microbial growth, adds fragrance",all skin types
Isododecane,Emollient,Provides a smooth feel and reduces greasiness,oily/combination skin
C12-15 Alkyl Benzoate,Emollient,Moisturizing and conditioning agent,all skin types
Undecane,Emollient,"Provides a smooth, lightweight feel",all skin types
Triethylhexanoin,Emollient,"Adds a smooth, non-greasy feel",all skin types
Isohexadecane,Emollient,"Enhances texture, helps dissolve other ingredients",dry/sensitive skin
Nylon-12,Powder/Film-forming Agent,Provides smoothness and mattifies the skin,oily/combination skin
Caprylyl Methicone,Silicone-based Compound,"Softens and smooths skin, enhances application",dry/sensitive skin
Butyloctyl Salicylate,UV filter/Emollient,"Enhances sunscreen performance, moisturizing",all skin types
Phenethyl Benzoate,Fragrance/Carrier,Adds fragrance and acts as a carrier,all skin types
Styrene/Acrylates Copolymer,Film-forming Agent,"Helps product adhere to skin, stabilizes formula",all skin types
Tridecane,Solvent/Emollient,Aids in smooth application and skin conditioning,all skin types
Dicaprylyl Carbonate,Emollient,"Helps product spread smoothly, reduces greasiness",dry/sensitive skin
Dicaprylyl Ether,Emollient,"Provides a light, non-greasy texture",dry/sensitive skin
Talc,Absorbent,Controls oil and provides smooth finish,oily/combination skin
Dimethicone/PEG-10/15 Crosspolymer,Silicone-based Compound,"Improves texture, helps with spreadability",all skin types
Aluminum Stearate,Stabilizer,"Stabilizes formulation, improves consistency",all skin types
Pentylene Glycol,Humectant,Hydrates skin and preserves moisture,dry/sensitive skin
PEG-9 Polydimethylsiloxyethyl Dimethicone,Silicone-based Compound,"Improves texture, adds smoothness",dry/sensitive skin
Alumina,Absorbent/Thickening Agent,Provides texture and absorbs excess moisture,oily/combination skin
Polyhydroxystearic Acid,Emulsifier,Stabilizes formulations and improves texture,all skin types
Magnesium Sulfate,Thickening Agent,Adds viscosity and thickens formulation,all skin types
Caprylyl Glycol,Humectant,Draws moisture into the skin,dry/sensitive skin
PEG-8 Laurate,Emulsifier,Helps blend oil and water-based ingredients,all skin types
Disteardimonium Hectorite,Thickening Agent,Thickens the formulation and improves stability,all skin types
Tocopherol (Vitamin E),Antioxidant,Protects skin from free radicals and oxidative stress,all skin types
Propylene Carbonate,Solvent,Helps dissolve other ingredients and improves texture,all skin types
Artemia Extract,Antioxidant,Provides antioxidant protection and boosts skin defense,all skin types
Benzoic Acid,Preservative,"Prevents microbial growth, extends shelf life",all skin types
PEG-9,Emulsifier,Helps stabilize the formula and blend ingredients,all skin types
Paraffinum Liquidum,Emollient,Provides moisturization and smoothness,dry
Steareth-20,Surfactant/Emulsifier,Helps mix oil and water-based ingredients,all skin types
Ceteareth-6,Surfactant/Emulsifier,"Stabilizes emulsions, enhances texture",all skin types
DMDM Hydantoin,Preservative,"Prevents microbial growth, extends shelf life",all skin types
C13-14 Isoparaffin,Emollient,"Acts as a conditioning agent, smooth application",all skin types
Laureth-7,Surfactant,Cleanses and emulsifies ingredients in the formula,all skin types
Polyacrylamide,Thickener/Film-forming,Improves product texture and provides film-like finish,all skin types
Aloe Barbadensis Leaf Juice,Plant Extract,"Soothing, moisturizing, and anti-inflammatory","sensitive,dry"
Calendula Officinalis (Marigold),Plant Extract,"Soothing, healing, anti-inflammatory","dry,sensitive"
Polyglyceryl 1-2 Dipolyhydroxystearate,Emulsifier,Helps stabilize emulsions,all skin types
Fucus Vesiculosus (Seaweed Extract),Plant Extract,"Moisturizing, antioxidant",all skin types
Hypericum Perforatum (St. John's Wort),Plant Extract,"Calming, anti-inflammatory","sensitive,irritated"
Polyaminopropyl Biguanide,Preservative,"Antimicrobial, prevents contamination",all skin types
Caprylic/Capric Triglyceride,Plant-derived Fat,"Emollient, moisturizer, skin softening",all skin types
Lanolin,Animal-derived,"Emollient, moisturizing, healing","dry,sensitive,normal"
Polysorbate 60,Surfactant,"Emulsifier, stabilizer for oil and water mixtures",all skin types
Sodium Gluconate,Chelating Agent,Stabilizes and improves formulation shelf life,all skin types
Sodium Benzoate,Preservative,"Prevents bacterial growth, extends shelf life",all skin types
Argania Spinosa Kernel Oil,Plant-derived Oil,"Nourishing, moisturizing, anti-aging, antioxidant","dry,sensitive,normal"
Hydrolyzed Rice Bran Protein,Protein Extract,"Strengthens, repairs, adds moisture","dry,damaged,all skin types"
Cera Alba,Wax,"Emollient, thickener, provides skin protection","dry,sensitive"
Benzoic Acid,Preservative,"Antimicrobial, prevents growth of microbes",all skin types
Dehydroacetic Acid,Preservative,"Antifungal, antimicrobial, maintains product stability",all skin types
Macadamia Integrifolia Seed Oil,Plant-derived Oil,"Moisturizing, nourishes skin, improves elasticity","dry,mature,sensitive"
Cocos Nucifera Oil,Plant-derived Oil,"Moisturizing, soothing, anti-inflammatory","dry,sensitive"
Oenothera Biennis Oil,Plant-derived Oil,"Anti-inflammatory, improves skin texture","sensitive,dry"
Limnanthes Alba Seed Oil,Plant-derived Oil,"Hydrating, soothing, rich in fatty acids","dry,sensitive"
P-Anisic Acid,Organic Acid,"Antioxidant, antimicrobial, fragrance stabilizer",all skin types
Levulinic Acid,Organic Acid,"Antimicrobial, antioxidant, stabilizer",all skin types
Equisetum Arvense Leaf Extract,Plant Extract,"Skin conditioning, anti-inflammatory, antioxidant",all skin types
Phytic Acid,Plant-derived Acid,"Antioxidant, improves skin texture, brightening",all skin types
Disodium Cocoyl Glutamate,Surfactant,"Cleansing agent, mild surfactant",all skin types
Sodium Cocoyl Glutamate,Surfactant,"Gentle cleanser, skin conditioner",all skin types
Daucus Carota Sativa Root Extract,Plant Extract,"Antioxidant, skin brightening, anti-aging",all skin types
Cetearyl Olivate,Emulsifier,"Skin conditioning, emulsifying, softens skin",all skin types
Sorbitan Olivate,Emulsifier,"Moisturizing, emulsifying, skin conditioning",all skin types
Calendula Officinalis,Plant Extract,"Anti-inflammatory, soothing, promotes skin healing","sensitive,dry"
Olea Europaea Fruit Oil,Plant-derived Oil,"Moisturizing, antioxidant, nourishing, anti-aging","dry,sensitive,mature"
Avocado Oil,Plant-derived Oil,"Moisturizing, nourishing, anti-aging","dry,sensitive,mature"
Rice Bran Oil,Plant-derived Oil,"Moisturizing, antioxidant, brightening",all skin types
Emulsifying Wax,Emulsifier,"Emulsifying, stabilizing emulsions",all skin types
Bees Wax,Waxy Substance,"Emollient, skin barrier, sealing in moisture","dry,sensitive,mature"
Borax,pH Adjuster,"Stabilizing, preserving, anti-inflammatory",all skin types
Grapefruit Seed Extract,Plant Extract,"Antioxidant, antimicrobial, toning",all skin types
Macadamia Oil,Plant-derived Oil,"Moisturizing, nourishing, soothing","dry,sensitive"
Sunflower Oil,Plant-derived Oil,"Moisturizing, anti-inflammatory, soothing",all skin types
Coconut Oil,Plant-derived Oil,"Hydrating, antimicrobial, soothing","dry,sensitive,normal"
Evening Primrose Oil,Plant-derived Oil,"Anti-inflammatory, balancing, moisturizing","dry,sensitive,mature"
Swamp Flower Oil,Plant-derived Oil,"Hydrating, soothing, antioxidant","sensitive,dry"
Horsetail Extract,Plant Extract,"Skin conditioning, anti-inflammatory",all skin types
Carrot Extract,Plant Extract,"Anti-aging, moisturizing, antioxidant","dry,sensitive"
Rosemary Oil,Essential Oil,"Antioxidant, antimicrobial, soothing",all skin types
Squalane,Plant-derived Oil,"Moisturizing, anti-aging, soothing",all skin types
Niacinamide,Active Ingredient,"Brightening, anti-inflammatory, soothing",all skin types
Jojoba Esters,Plant-derived Oil,"Moisturizing, balancing, emollient",all skin types
Centella Asiatica Extract,Plant Extract,"Healing, soothing, anti-inflammatory","sensitive,dry"
Behenyl Alcohol,Fatty Alcohol,"Emulsifying, conditioning, thickening","dry,sensitive"
Leuconostoc/Radish Root Filtrate,Fermented Ingredient,"Preservative, antimicrobial",all skin types
Adenosine,Active Ingredient,"Anti-aging, soothing, anti-inflammatory",all skin types
Allantoin,Active Ingredient,"Soothing, healing, moisturizing","sensitive,dry"
Lactobacillus,Fermented Ingredient,"Probiotic, skin barrier strengthening",all skin types
Cocos Nucifera Fruit Extract,Plant Extract,"Hydrating, soothing, antioxidant","dry,sensitive"
Sodium Polyacrylate,Synthetic Polymer,"Thickening agent, stabilizer",all skin types
Betaine,Amino Acid Derivative,"Moisturizing, skin-conditioning agent","dry,sensitive"
Panthenol,Vitamin B5,"Moisturizing, soothing, anti-inflammatory","dry,sensitive,all types"
Aloe Barbadensis Extract,Plant Extract,"Soothing, moisturizing, anti-inflammatory","dry,sensitive"
Calendula Officinalis Flower Extract,Plant Extract,"Healing, anti-inflammatory, soothing","sensitive,all types"
PPG-15 Stearyl Ether,Synthetic Compound,"Emollient, skin-conditioning agent",all skin types
Steareth-2,Surfactant,"Emulsifying agent, cleansing",all skin types
Steareth-21,Surfactant,"Emulsifying agent, stabilizer",all skin types
Cetearyl Ethylhexanoate,Ester,"Emollient, skin-softening agent","dry,sensitive"
Madecassoside,Plant Extract,"Healing, anti-inflammatory","sensitive,all types"
Acetyl Glucosamine,Amino Sugar,"Hydrating, skin barrier repair","dry,sensitive"
Hydrolyzed Fibronectin,Protein,"Skin conditioning, repair",all skin types
PEG-4 Proline Linolenate,"Emollient, Surfactant","Skin-conditioning, antioxidant","dry,sensitive"
Ceramide 3,Lipid,"Skin barrier repair, moisturizing","dry,sensitive"
Asiaticoside,Plant Extract,"Soothing, anti-inflammatory, healing","sensitive,all types"
Ceramide 6 II,Lipid,"Skin barrier repair, moisturizing","dry,sensitive"
Benzyl PCA,Humectant,"Moisturizing, skin-conditioning agent","dry,sensitive"
Phytosphingosine,Lipid,"Skin-soothing, barrier repair","dry,sensitive,oily"
Glycine Soja Protein (Soybean Protein),Protein,"Skin conditioning, anti-aging",all skin types
Ceramide 1,Lipid,"Skin barrier repair, moisturizing","dry,sensitive"
Sodium Lauroyl Lactylate,Surfactant,"Emulsifier, gentle cleansing agent",all skin types
Dicaprylyl Carbonate,Ester,"Emollient, skin-softening agent",all skin types
Olus Oil,Plant Oil,"Emollient, moisturizing","dry,sensitive"
Shorea Stenoptera Seed Butter,Plant Butter,"Moisturizing, skin-softening","dry,sensitive"
Glyceryl Stearate Citrate,Emulsifier,"Emulsifying, stabilizing agent",all skin types
Cholesterol,Lipid,"Skin barrier repair, moisturizing","dry,sensitive"
Ceramide NP,Lipid,"Skin barrier repair, moisturizing","dry,sensitive"
Isocetyl Alcohol,Fatty Alcohol,"Emollient, skin-conditioning agent",all skin types
Ethylhexylglycerin,Humectant,"Moisturizing, skin-conditioning",all skin types
Niacinamide,Vitamin,"Skin brightening, anti-inflammatory",all skin types
Isopropyl Myristate,Ester,"Solvent, skin penetration enhancer",all skin types
Butyl Methoxydibenzoylmethane,Sunscreen Agent,UV protection (UVB absorption),all skin types
Glutamic Acid,Amino Acid,"Moisturizing, skin-conditioning",all skin types
Hydroxystearic Acid,Fatty Acid,"Emollient, stabilizing agent",all skin types
Pyridoxine Hydrochloride,Vitamin B6,"Skin healing, anti-inflammatory",all skin types
Sodium Ascorbyl Phosphate,Vitamin C Derivative,"Antioxidant, skin brightening",all skin types
Sodium PCA,Humectant,"Moisturizing, skin conditioning","dry,sensitive"
Methyl Paraben,Preservative,"Antimicrobial, preservation",all skin types
Propylparaben,Preservative,"Antimicrobial, preservation",all skin types
Aluminum Hydroxide,Inorganic Compound,Sunscreen agent,sensitive
Titanium Dioxide,Sunscreen Agent,UV protection (UVA & UVB reflection),sensitive
Butylphenyl Methylpropional,Fragrance,Fragrance,all skin types
Citronellol,Fragrance,"Fragrance, masking agent","sensitive,dry"
Hexyl Cinnamal,Fragrance,Fragrance,"sensitive,dry"
Linalool,Fragrance,Fragrance,"sensitive,dry"
Glyceryl Monostearate,"Ester, Emulsifier","Emulsifying agent, stabilizer",all skin types
FD&C Yellow No. 6,Synthetic Dye,Colorant,all skin types
Vitamin E,Vitamin,"Antioxidant, skin conditioning",all skin types
Mineral Oil,Oil,"Emollient, moisturizer","dry,sensitive"
Lanolin,Wax,"Emollient, moisturizing","dry,sensitive"
Alpha-Isomethyl Ionone,Fragrance,"Fragrance, masking agent","sensitive,dry"
Hydroxycitronellol,Fragrance,"Fragrance, masking agent","sensitive,dry"
Cinnamyl Alcohol,Fragrance,Fragrance,"sensitive,dry"
Geraniol,Fragrance,Fragrance,"sensitive,dry"
Persea Americana (Avocado) Oil,Plant Oil,"Emollient, moisturizing, nourishing","dry,sensitive,normal"
Carthamus Tinctorius (Safflower) Oleosomes,Plant Oil,"Emollient, moisturizing","dry,sensitive,normal"
Theobroma Grandiflorum (Capuacu) Seed Butter,Plant Butter,"Moisturizing, emollient","dry,sensitive,normal"
Citrullus Vulgaris (Watermelon) Fruit Extract,Plant Extract,"Hydrating, antioxidant, soothing","dry,sensitive,normal"
Pyrus Malus (Apple) Fruit Extract,Plant Extract,"Antioxidant, skin conditioning","dry,sensitive,normal"
Lens Esculenta (Lentil) Fruit Extract,Plant Extract,"Moisturizing, brightening","dry,sensitive,normal"
Sodium PCA,Humectant,"Hydration, skin conditioning","dry,sensitive,normal"
Sodium Lactate,Humectant,"Moisturizing, pH regulator","dry,sensitive,normal"
Olea Europea (Olive) Oil,Plant Oil,"Emollient, antioxidant, moisturizing","dry,sensitive,normal"
Helianthus Annuus (Sunflower) Seed Oil Unsaponifiables,Plant Oil,"Emollient, nourishing","dry,sensitive,normal"
Lonicera Caprifolium (Honeysuckle) Flower Extract,Plant Extract,"Antioxidant, soothing","sensitive,dry,normal"
Hydrolyzed Corn Protein,Protein,"Strengthens, conditions",all skin types
Sclerotium Gum,Polysaccharide,"Thickening agent, stabilizer",all skin types
Organic Essential Oils Of Neroli,Essential Oil,"Fragrance, soothing, calming","sensitive,dry"
Lemongrass Essential Oil,Essential Oil,"Antioxidant, fragrance, refreshing","sensitive,oily"
Petitgrain Essential Oil,Essential Oil,"Antioxidant, fragrance, calming","sensitive,oily"
Orange Essential Oil,Essential Oil,"Antioxidant, fragrance, refreshing","sensitive,oily"
Pelargonium Graveolens Flower Water,Floral Water,"Hydrating, soothing","sensitive,dry"
Isoamyl Laurate,Ester,"Emollient, solvent","dry,sensitive"
Cetearyl Glucoside,Emulsifier,"Emulsification, skin conditioning",all skin types
Glycine Soja (Soybean) Seed Extract,Plant Extract,"Antioxidant, moisturizing","sensitive,dry"
Limnanthes Alba (Meadowfoam) Seed Oil,Plant Oil,"Emollient, moisturizing, nourishing","dry,sensitive,normal"
Dihydroxyacetone,Sugar Derivative,"Self-tanning, skin conditioning","dry,sensitive"
Lauryl Laurate,Ester,"Emollient, emulsifier","sensitive,dry"
Propanediol,Humectant,"Moisturizing, solvent","sensitive,dry"
Paeonia Lactiflora Pall Seed Extract,Plant Extract,"Antioxidant, soothing","sensitive,dry"
Lentinus Edodes Extract,Fungus Extract,"Antioxidant, soothing","dry,sensitive"
Plukenetia Volubilis Seed Oil,Plant Oil,"Emollient, moisturizing, soothing","dry,sensitive"
Simmondsia Chinensis (Jojoba) Seed Oil,Plant Oil,"Moisturizing, soothing",all skin types
Rosa Damascena (Rose) Extract,Plant Extract,"Antioxidant, soothing, fragrance","sensitive,dry"
Daucus Carota Sativa (Carrot) Seed Oil,Plant Oil,"Antioxidant, skin conditioning","sensitive,dry"
Sambucus Nigra Fruit Extract,Plant Extract,"Antioxidant, soothing","sensitive,dry"
Calendula Officinalis Flower Extract,Plant Extract,"Anti-inflammatory, soothing","sensitive,dry"
Althaea Officinalis Root Extract,Plant Extract,"Soothing, anti-inflammatory","sensitive,dry"
Helichrysum Italicum (Flower) Oil,Essential Oil,"Soothing, antioxidant, anti-inflammatory","sensitive,dry"
Phenylpropanol,Aromatic Alcohol,"Fragrance, preservative",all skin types
Benzyl Alcohol,Alcohol,"Preservative, fragrance","sensitive,dry"
Ethylhexylglycerin,Glycol Derivative,"Skin conditioning, antimicrobial","sensitive,dry"
Coffea Arabica Seed Oil,Plant Oil,"Antioxidant, soothing","sensitive,dry"
Diamond Powder,Powder,"Exfoliating, skin brightening",all skin types
Salicylic Acid,Beta-Hydroxy Acid (BHA),"Exfoliating, acne treatment","oily,acne-prone"
Sorbic Acid,Acid,Preservative,all skin types
Helichrysum Italicum,Essential Oil,"Soothing, anti-inflammatory","sensitive,dry"
Bisabolol,Essential Oil,"Soothing, anti-inflammatory","sensitive,dry"
